Symbol,Name,Latest,Change,%Change,High,Low,Volume,"5D Total OI","Imp Vol","IV Rank"
GCQ26,Gold,4062.7,10.9,+0.27%,4071.9,4061.1,3316,N/A,0.00%,N/A
GCN26,Gold,4044,-17.1,-0.42%,4070.1,4019.4,374,N/A,0.00%,N/A
GCU26,Gold,4079,13.9,+0.34%,4084,4079,4,N/A,0.00%,N/A
GCV26,Gold,4089.5,10.4,+0.25%,4097.8,4089.5,233,N/A,0.00%,N/A
GCX26,Gold,4094.6,-18.4,-0.45%,4094.6,4094.6,24,N/A,0.00%,N/A
GCZ26,Gold,4120.1,10.8,+0.26%,4127,4119.6,212,N/A,0.00%,N/A
GCF27,Gold,4126.6,-19.,-0.46%,4126.6,4126.6,19,N/A,0.00%,N/A
GCG27,Gold,4152.9,11.7,+0.28%,4152.9,4152.9,1,N/A,0.00%,N/A
GCH27,Gold,4155.7,-18.6,-0.45%,4155.7,4148.2,2,N/A,0.00%,N/A
GCJ27,Gold,4172.1,-19.2,-0.46%,4184.7,4150.6,496,N/A,0.00%,N/A
CLU26,"Crude Oil WTI",79.51,0.39,+0.49%,80.02,79.12,4040,N/A,0.00%,N/A
CLQ26,"Crude Oil WTI",80.04,0.44000000000001,+0.55%,80.59,79.6,3447,N/A,0.00%,N/A
CLV26,"Crude Oil WTI",78.41,0.33,+0.42%,78.82,78.25,1449,N/A,0.00%,N/A
CLZ26,"Crude Oil WTI",76.12,0.24000000000001,+0.32%,76.39,76.12,1151,N/A,0.00%,N/A
CLX26,"Crude Oil WTI",77.2,0.27,+0.35%,77.53,77.04,1185,N/A,0.00%,N/A
CLG27,"Crude Oil WTI",74.4,0.23,+0.31%,74.56,74.4,190,N/A,0.00%,N/A
CLH27,"Crude Oil WTI",73.65,0.21000000000001,+0.29%,73.67,73.65,106,N/A,0.00%,N/A
CLJ27,"Crude Oil WTI",72.79,0.33,+0.46%,73.38,72.51,7586,N/A,0.00%,N/A
CLK27,"Crude Oil WTI",72.23,0.28,+0.39%,72.89,72,4428,N/A,0.00%,N/A
CLF27,"Crude Oil WTI",75.2,0.22,+0.29%,75.42,75.2,404,N/A,0.00%,N/A
QRU26,"Russell 2000 E-Mini",2996.6,4.7999999999997,+0.16%,2997.8,2991.8,1375,N/A,0.00%,N/A
QRZ26,"Russell 2000 E-Mini",3013.7,11.6,+0.39%,3023.6,3001.1,67,N/A,0.00%,N/A
QRH27,"Russell 2000 E-Mini",3040.6,11.8,+0.39%,3040.6,3040.6,0,N/A,0.00%,N/A
QRM27,"Russell 2000 E-Mini",3067.3,11.3,+0.37%,3067.3,3067.3,0,N/A,0.00%,N/A
QRU27,"Russell 2000 E-Mini",3095.4,11.3,+0.37%,3095.4,3095.4,0,N/A,0.00%,N/A
QRZ27,"Russell 2000 E-Mini",3100.4,11.3,+0.37%,3100.4,3100.4,0,N/A,0.00%,N/A
QRM28,"Russell 2000 E-Mini",3152.4,11.3,+0.36%,3152.4,3152.4,0,N/A,0.00%,N/A
QRZ28,"Russell 2000 E-Mini",3204.7,11.3,+0.35%,3204.7,3204.7,0,N/A,0.00%,N/A
QRM29,"Russell 2000 E-Mini",3265.6,11.3,+0.35%,3265.6,3265.6,0,N/A,0.00%,N/A
QRZ29,"Russell 2000 E-Mini",3321.6,11.3,+0.34%,3321.6,3321.6,0,N/A,0.00%,N/A
OYU26,"High Yield Corp Bond",183.81,0.29,+0.16%,183.84,183.6,260,N/A,0.00%,N/A
OYZ26,"High Yield Corp Bond",185.235,0.285,+0.15%,185.27,185.1,86,N/A,0.00%,N/A
OYH27,"High Yield Corp Bond",185.235,0.285,+0.15%,185.235,185.235,0,N/A,0.00%,N/A
OGU26,"Ivnt Grade Corp Bond",146.39,0.51,+0.35%,146.51,146.1,81,N/A,0.00%,N/A
OGZ26,"Ivnt Grade Corp Bond",147.755,0.5,+0.34%,147.86,147.57,41,N/A,0.00%,N/A
OGH27,"Ivnt Grade Corp Bond",147.755,0.5,+0.34%,147.755,147.755,0,N/A,0.00%,N/A
TON26,"10-Year Yield Futures",4.539,-0.044,-0.96%,4.604,4.539,432,N/A,0.00%,N/A
ZTU26,"2-Year T-Note",103.06640625,-0.03125,-0.03%,103.09375,103.0625,20341,N/A,0.00%,N/A
ZTZ26,"2-Year T-Note",103.021875,0.1125,+0.11%,103.021875,102.8625,26,N/A,0.00%,N/A
ZTH27,"2-Year T-Note",102.9875,0.1125,+0.11%,102.9875,102.9875,0,N/A,0.00%,N/A
TOQ26,"10-Year Yield Futures",4.55,0.011,+0.24%,4.55,4.55,1,N/A,0.00%,N/A
$CHGC,"Cash Copper High Grade",6.2935,-0.0365,-0.58%,6.2935,6.2935,N/A,N/A,0.00%,N/A
ZCZ26,Corn,469.25,-0.25,-0.05%,469.5,468,2267,N/A,0.00%,N/A
ZCU26,Corn,447.25,-0.25,-0.06%,447.5,446.5,2036,N/A,0.00%,N/A
ZCH27,Corn,484,-0.25,-0.05%,484.25,482.75,319,N/A,0.00%,N/A
ZCK27,Corn,492.5,0,0.00%,492.5,491.5,103,N/A,0.00%,N/A
ZCN27,Corn,497.25,-0.25,-0.05%,497.25,496.25,300,N/A,0.00%,N/A
ZCU27,Corn,484,-0.5,-0.10%,484,484,15,N/A,0.00%,N/A
ZCZ27,Corn,490,-0.5,-0.10%,490,489.25,25,N/A,0.00%,N/A
ZCH28,Corn,501,6.25,+1.26%,501.25,494.75,369,N/A,0.00%,N/A
ZCK28,Corn,507.25,6.25,+1.25%,507.25,504.25,21,N/A,0.00%,N/A
ZCN28,Corn,510.5,6,+1.19%,510.5,505.5,29,N/A,0.00%,N/A
ZLZ26,"Soybean Oil",71.01,0.070000000000007,+0.10%,71.16,70.91,603,N/A,0.00%,N/A
ZLQ26,"Soybean Oil",73,0.079999999999998,+0.11%,73.18,72.92,306,N/A,0.00%,N/A
ZLU26,"Soybean Oil",72.3,0.11999999999999,+0.17%,72.43,72.14,170,N/A,0.00%,N/A
ZLV26,"Soybean Oil",71.48,0.079999999999998,+0.11%,71.58,71.45,18,N/A,0.00%,N/A
ZLF27,"Soybean Oil",70.81,0.079999999999998,+0.11%,70.94,70.65,49,N/A,0.00%,N/A
ZLH27,"Soybean Oil",70.55,0.22,+0.31%,70.55,70.33,39,N/A,0.00%,N/A
ZLK27,"Soybean Oil",69.98,0.11,+0.16%,70,69.66,23,N/A,0.00%,N/A
ZLN27,"Soybean Oil",69.33,0.049999999999997,+0.07%,69.33,69.33,1,N/A,0.00%,N/A
ZLQ27,"Soybean Oil",68.38,0.2,+0.29%,68.38,67.68,389,N/A,0.00%,N/A
ZLU27,"Soybean Oil",67.44,0.18,+0.27%,67.44,67.44,165,N/A,0.00%,N/A
ZMZ26,"Soybean Meal",319.4,-0.6,-0.19%,320.1,319.3,375,N/A,0.00%,N/A
ZMQ26,"Soybean Meal",318.2,-0.7,-0.22%,319,318.1,279,N/A,0.00%,N/A
ZMU26,"Soybean Meal",316.9,-0.7,-0.22%,317.8,316.9,93,N/A,0.00%,N/A
ZMV26,"Soybean Meal",315.9,-0.6,-0.19%,316.6,315.8,45,N/A,0.00%,N/A
ZMF27,"Soybean Meal",321.1,-0.5,-0.16%,321.6,321,17,N/A,0.00%,N/A
ZMH27,"Soybean Meal",322.3,-0.6,-0.19%,322.6,322.3,64,N/A,0.00%,N/A
ZMK27,"Soybean Meal",322.3,-1.9,-0.59%,322.3,322.3,21,N/A,0.00%,N/A
ZMN27,"Soybean Meal",326.5,-0.3,-0.09%,326.7,326.5,19,N/A,0.00%,N/A
ZMQ27,"Soybean Meal",326,3,+0.93%,326.3,324.8,123,N/A,0.00%,N/A
ZMU27,"Soybean Meal",324.4,3,+0.93%,324.8,323.2,29,N/A,0.00%,N/A
FLQ26,"Ethanol Chicago",1.9225,-0.0025,-0.13%,1.9225,1.9225,1775,N/A,0.00%,N/A
FLN26,"Ethanol Chicago",1.9025,0.0025,+0.13%,1.9025,1.9025,120,N/A,0.00%,N/A
FLU26,"Ethanol Chicago",1.93,0,0.00%,1.93,1.93,2187,N/A,0.00%,N/A
FLV26,"Ethanol Chicago",1.8975,0.0025,+0.13%,1.8975,1.8975,380,N/A,0.00%,N/A
ALX26,Aluminum,3327.75,6.5,+0.20%,3327.75,3326.75,12,N/A,0.00%,N/A
FLZ26,"Ethanol Chicago",1.7825,0.0075,+0.42%,1.7825,1.7825,822,N/A,0.00%,N/A
FLF27,"Ethanol Chicago",1.735,0.0075,+0.43%,1.735,1.735,90,N/A,0.00%,N/A
FLG27,"Ethanol Chicago",1.745,0.0075,+0.43%,1.745,1.745,90,N/A,0.00%,N/A
FLH27,"Ethanol Chicago",1.76,0.0075,+0.43%,1.76,1.76,90,N/A,0.00%,N/A
FLJ27,"Ethanol Chicago",1.7825,0.0075,+0.42%,1.7825,1.7825,0,N/A,0.00%,N/A
HGU26,"High Grade Copper",6.384,0.043,+0.68%,6.3875,6.377,393,N/A,0.00%,N/A
HGN26,"High Grade Copper",6.2935,-0.0365,-0.58%,6.339,6.2935,666,N/A,0.00%,N/A
HGQ26,"High Grade Copper",6.351,0.04,+0.63%,6.351,6.351,1,N/A,0.00%,N/A
HGV26,"High Grade Copper",6.412,0.0415,+0.65%,6.412,6.412,1,N/A,0.00%,N/A
HGX26,"High Grade Copper",6.4445,0.043,+0.67%,6.4445,6.4445,2,N/A,0.00%,N/A
HGZ26,"High Grade Copper",6.4755,0.0435,+0.68%,6.4755,6.468,9,N/A,0.00%,N/A
HGF27,"High Grade Copper",6.4615,-0.037,-0.57%,6.4615,6.4615,2,N/A,0.00%,N/A
HGG27,"High Grade Copper",6.492,-0.037,-0.57%,6.492,6.49,14,N/A,0.00%,N/A
HGH27,"High Grade Copper",6.5215,-0.037,-0.56%,6.5895,6.516,1277,N/A,0.00%,N/A
HGJ27,"High Grade Copper",6.5505,-0.037,-0.56%,6.5505,6.5505,21,N/A,0.00%,N/A
VIN26,"S&P 500 VIX",16.55,0.001100000000001,+0.01%,16.6,16.47,599,N/A,0.00%,N/A
ZBU26,"30-Year T-Bond",111.15625,-0.0625,-0.06%,111.3125,111.0625,3084,N/A,0.00%,N/A
ZBZ26,"30-Year T-Bond",110.8125,0.3125,+0.28%,110.84375,110.0625,104,N/A,0.00%,N/A
ZBH27,"30-Year T-Bond",110.40625,0.3125,+0.28%,110.40625,110.40625,0,N/A,0.00%,N/A
ZNU26,"10-Year T-Note",109.203125,-0.09375,-0.09%,109.28125,109.1875,21845,N/A,0.00%,N/A
ZNZ26,"10-Year T-Note",109.109375,0.359375,+0.33%,109.125,108.546875,613,N/A,0.00%,N/A
ZNH27,"10-Year T-Note",108.96875,0.359375,+0.33%,108.96875,108.96875,10,N/A,0.00%,N/A
S!U26,"CFFEX CSI 300 Index",4713,13.6,+0.29%,4739.4,4690.6,75088,N/A,0.00%,N/A
S!N26,"CFFEX CSI 300 Index",4783.4,18.2,+0.38%,4814.6,4760.6,29414,N/A,0.00%,N/A
S!Q26,"CFFEX CSI 300 Index",4737.6,12.2,+0.26%,4766,4719.2,15605,N/A,0.00%,N/A
S!Z26,"CFFEX CSI 300 Index",4628.8,10.4,+0.23%,4651,4605.8,12966,N/A,0.00%,N/A
$SPX,"S&P 500 Index",7572.4,28.81,+0.38%,7581.5,7527.25,0,22814619,12.77%,13.49%
ESU26,"S&P 500 E-Mini",7622.5,7.75,+0.10%,7624,7613.25,11066,N/A,0.00%,N/A
ESZ26,"S&P 500 E-Mini",7689.75,7.75,+0.10%,7689.75,7681.5,87,N/A,0.00%,N/A
ESH27,"S&P 500 E-Mini",7761.5,24.5,+0.32%,7761.5,7761.5,0,N/A,0.00%,N/A
ESM27,"S&P 500 E-Mini",7831.5,23.25,+0.30%,7831.5,7831.5,0,N/A,0.00%,N/A
ESU27,"S&P 500 E-Mini",7902.25,18.25,+0.23%,7902.25,7902.25,0,N/A,0.00%,N/A
ESZ27,"S&P 500 E-Mini",7976.5,20.5,+0.26%,7976.5,7976.5,0,N/A,0.00%,N/A
ESH28,"S&P 500 E-Mini",8051,16.25,+0.20%,8051,8051,0,N/A,0.00%,N/A
ESM28,"S&P 500 E-Mini",8129.5,17,+0.21%,8129.5,8129.5,0,N/A,0.00%,N/A
ESU28,"S&P 500 E-Mini",8205.75,16.5,+0.20%,8205.75,8205.75,0,N/A,0.00%,N/A
ESZ28,"S&P 500 E-Mini",8279.5,12.25,+0.15%,8279.5,8279.5,0,N/A,0.00%,N/A
NGQ26,"Natural Gas",2.899,-0.025,-0.85%,2.924,2.898,669,N/A,0.00%,N/A
NGU26,"Natural Gas",2.867,-0.022,-0.76%,2.887,2.866,448,N/A,0.00%,N/A
NGV26,"Natural Gas",2.892,-0.019,-0.65%,2.911,2.89,108,N/A,0.00%,N/A
NGX26,"Natural Gas",3.092,-0.019,-0.61%,3.105,3.092,30,N/A,0.00%,N/A
NGZ26,"Natural Gas",3.752,-0.016,-0.42%,3.758,3.752,31,N/A,0.00%,N/A
NGF27,"Natural Gas",4.175,-0.019,-0.45%,4.183,4.175,72,N/A,0.00%,N/A
NGG27,"Natural Gas",3.774,-0.015,-0.40%,3.775,3.774,7,N/A,0.00%,N/A
NGH27,"Natural Gas",2.974,-0.012,-0.40%,2.981,2.974,12,N/A,0.00%,N/A
NGJ27,"Natural Gas",2.818,0.001,+0.04%,2.818,2.818,6,N/A,0.00%,N/A
NGK27,"Natural Gas",2.803,-0.006,-0.21%,2.82,2.794,3308,N/A,0.00%,N/A
$VIX,"CBOE Volatility Index",15.67,-0.83,-5.03%,16.57,15.64,0,12858458,84.95%,5.55%
$JGBV,"Jpx Jgb VIX Index",4.18,0.0099999999999998,+0.24%,4.2,4.13,N/A,N/A,0.00%,N/A
$CSHZ,"CSI China 300 Index",4786.78,-9.72,-0.20%,4826.86,4772.04,0,N/A,0.00%,N/A
SQJ26,"3-Month SOFR",96.37,0.0025,0.00%,96.37,96.3675,32,N/A,0.00%,N/A
SQZ26,"3-Month SOFR",96.035,-0.02,-0.02%,96.045,96.035,10336,N/A,0.00%,N/A
SQK26,"3-Month SOFR",96.36,0.01,+0.01%,96.36,96.355,502,N/A,0.00%,N/A
SQM26,"3-Month SOFR",96.335,0.005,+0.01%,96.335,96.3325,110,N/A,0.00%,N/A
SQN26,"3-Month SOFR",96.2775,0.025,+0.03%,96.29,96.2575,311,N/A,0.00%,N/A
SQQ26,"3-Month SOFR",96.225,0.0325,+0.03%,96.2275,96.19,610,N/A,0.00%,N/A
SQU26,"3-Month SOFR",96.165,-0.01,-0.01%,96.17,96.165,4953,N/A,0.00%,N/A
SQV26,"3-Month SOFR",96.115,0.05,+0.05%,96.115,96.1,82,N/A,0.00%,N/A
SQX26,"3-Month SOFR",96.075,0.055,+0.06%,96.075,96.075,0,N/A,0.00%,N/A
SQF27,"3-Month SOFR",96.02,0.065,+0.07%,96.02,96.02,0,N/A,0.00%,N/A
SQH27,"3-Month SOFR",95.965,-0.02,-0.02%,95.98,95.96,9252,N/A,0.00%,N/A
ZQQ26,"30-Day Fed Funds",96.35,0.005,+0.01%,96.35,96.345,2064,N/A,0.00%,N/A
ZQN26,"30-Day Fed Funds",96.3725,0.0025,0.00%,96.3725,96.3725,34,N/A,0.00%,N/A
ZQU26,"30-Day Fed Funds",96.295,0,0.00%,96.3,96.295,295,N/A,0.00%,N/A
ZQV26,"30-Day Fed Funds",96.23,-0.005,-0.01%,96.235,96.23,1050,N/A,0.00%,N/A
ZQX26,"30-Day Fed Funds",96.19,-0.005,-0.01%,96.195,96.185,1011,N/A,0.00%,N/A
ZQZ26,"30-Day Fed Funds",96.135,-0.005,-0.01%,96.14,96.13,172,N/A,0.00%,N/A
ZQF27,"30-Day Fed Funds",96.105,-0.01,-0.01%,96.115,96.105,1600,N/A,0.00%,N/A
ZQG27,"30-Day Fed Funds",96.08,-0.005,-0.01%,96.085,96.075,952,N/A,0.00%,N/A
ZQH27,"30-Day Fed Funds",96.05,-0.015,-0.02%,96.06,96.045,67,N/A,0.00%,N/A
ZQJ27,"30-Day Fed Funds",96.02,-0.015,-0.02%,96.03,96.02,49,N/A,0.00%,N/A
VIQ26,"S&P 500 VIX",18.1,0.0458,+0.25%,18.15,18.05,629,N/A,0.00%,N/A
TZN26,"30-Year Yield Futures",4.988,0,0.00%,4.988,4.988,0,N/A,0.00%,N/A
TZQ26,"30-Year Yield Futures",5.018,0,0.00%,5.018,5.018,0,N/A,0.00%,N/A
"Downloaded from Barchart.com as of 07-15-2026 07:15pm CDT"
